targetTime,actualGeneration
2024-01-01T00:00:00Z,10402.0
2024-01-01T00:30:00Z,10845.0
2024-01-01T01:00:00Z,11218.0
2024-01-01T01:30:00Z,11223.0
2024-01-01T02:00:00Z,11234.0
2024-01-01T02:30:00Z,11437.0
2024-01-01T03:00:00Z,11434.0
2024-01-01T03:30:00Z,11445.0
2024-01-01T04:00:00Z,11828.0
2024-01-01T04:30:00Z,11878.0
2024-01-01T05:00:00Z,12037.0
2024-01-01T05:30:00Z,12011.0
2024-01-01T06:00:00Z,12044.0
2024-01-01T06:30:00Z,12183.0
2024-01-01T07:00:00Z,12303.0
2024-01-01T07:30:00Z,12307.0
2024-01-01T08:00:00Z,12361.0
2024-01-01T08:30:00Z,12218.0
2024-01-01T09:00:00Z,12017.0
2024-01-01T09:30:00Z,11817.0
2024-01-01T10:00:00Z,11379.0
2024-01-01T10:30:00Z,10932.0
2024-01-01T11:00:00Z,10679.0
2024-01-01T11:30:00Z,10217.0
2024-01-01T12:00:00Z,9828.0
2024-01-01T12:30:00Z,9548.0
2024-01-01T13:00:00Z,8874.0
2024-01-01T13:30:00Z,8495.0
2024-01-01T14:00:00Z,8058.0
2024-01-01T14:30:00Z,8098.0
2024-01-01T15:00:00Z,8162.0
2024-01-01T15:30:00Z,8058.0
2024-01-01T16:00:00Z,8634.0
2024-01-01T16:30:00Z,9091.0
2024-01-01T17:00:00Z,9204.0
2024-01-01T17:30:00Z,9290.0
2024-01-01T18:00:00Z,9665.0
2024-01-01T18:30:00Z,10443.0
2024-01-01T19:00:00Z,11212.0
2024-01-01T19:30:00Z,12055.0
2024-01-01T20:00:00Z,12519.0
2024-01-01T20:30:00Z,13279.0
2024-01-01T21:00:00Z,13953.0
2024-01-01T21:30:00Z,13845.0
2024-01-01T22:00:00Z,14217.0
2024-01-01T22:30:00Z,14306.0
2024-01-01T23:00:00Z,14958.0
2024-01-01T23:30:00Z,14666.0
2024-01-02T00:00:00Z,14690.0
2024-01-02T00:30:00Z,14510.0
2024-01-02T01:00:00Z,14592.0
2024-01-02T01:30:00Z,14388.0
2024-01-02T02:00:00Z,14032.0
2024-01-02T02:30:00Z,13748.0
2024-01-02T03:00:00Z,13403.0
2024-01-02T03:30:00Z,13232.0
2024-01-02T04:00:00Z,13245.0
2024-01-02T04:30:00Z,13041.0
2024-01-02T05:00:00Z,12635.0
2024-01-02T05:30:00Z,12711.0
2024-01-02T06:00:00Z,12764.0
2024-01-02T06:30:00Z,12323.0
2024-01-02T07:00:00Z,11925.0
2024-01-02T07:30:00Z,11711.0
2024-01-02T08:00:00Z,11866.0
2024-01-02T08:30:00Z,12035.0
2024-01-02T09:00:00Z,11505.0
2024-01-02T09:30:00Z,10760.0
2024-01-02T10:00:00Z,10399.0
2024-01-02T10:30:00Z,9546.0
2024-01-02T11:00:00Z,8795.0
2024-01-02T11:30:00Z,8667.0
2024-01-02T12:00:00Z,8281.0
2024-01-02T12:30:00Z,7557.0
2024-01-02T13:00:00Z,7344.0
2024-01-02T13:30:00Z,7180.0
2024-01-02T14:00:00Z,7249.0
2024-01-02T14:30:00Z,7672.0
2024-01-02T15:00:00Z,7870.0
2024-01-02T15:30:00Z,8115.0
2024-01-02T16:00:00Z,8208.0
2024-01-02T16:30:00Z,8935.0
2024-01-02T17:00:00Z,9635.0
2024-01-02T17:30:00Z,9771.0
2024-01-02T18:00:00Z,10183.0
2024-01-02T18:30:00Z,10043.0
2024-01-02T19:00:00Z,9919.0
2024-01-02T19:30:00Z,10271.0
2024-01-02T20:00:00Z,11051.0
2024-01-02T20:30:00Z,11338.0
2024-01-02T21:00:00Z,11263.0
2024-01-02T21:30:00Z,11467.0
2024-01-02T22:00:00Z,11480.0
2024-01-02T22:30:00Z,11364.0
2024-01-02T23:00:00Z,10992.0
2024-01-02T23:30:00Z,10922.0
2024-01-03T00:00:00Z,10672.0
2024-01-03T00:30:00Z,10530.0
2024-01-03T01:00:00Z,10293.0
2024-01-03T01:30:00Z,10418.0
2024-01-03T02:00:00Z,10226.0
2024-01-03T02:30:00Z,9940.0
2024-01-03T03:00:00Z,10059.0
2024-01-03T03:30:00Z,9889.0
2024-01-03T04:00:00Z,9599.0
2024-01-03T04:30:00Z,9680.0
2024-01-03T05:00:00Z,9463.0
2024-01-03T05:30:00Z,9484.0
2024-01-03T06:00:00Z,9387.0
2024-01-03T06:30:00Z,9326.0
2024-01-03T07:00:00Z,8927.0
2024-01-03T07:30:00Z,8565.0
2024-01-03T08:00:00Z,8396.0
2024-01-03T08:30:00Z,7841.0
2024-01-03T09:00:00Z,7245.0
2024-01-03T09:30:00Z,6934.0
2024-01-03T10:00:00Z,6794.0
2024-01-03T10:30:00Z,6620.0
2024-01-03T11:00:00Z,6484.0
2024-01-03T11:30:00Z,6258.0
2024-01-03T12:00:00Z,6200.0
2024-01-03T12:30:00Z,6088.0
2024-01-03T13:00:00Z,5823.0
2024-01-03T13:30:00Z,5825.0
2024-01-03T14:00:00Z,5928.0
2024-01-03T14:30:00Z,5826.0
2024-01-03T15:00:00Z,6052.0
2024-01-03T15:30:00Z,6367.0
2024-01-03T16:00:00Z,6591.0
2024-01-03T16:30:00Z,6805.0
2024-01-03T17:00:00Z,7044.0
2024-01-03T17:30:00Z,7119.0
2024-01-03T18:00:00Z,7192.0
2024-01-03T18:30:00Z,7171.0
2024-01-03T19:00:00Z,7131.0
2024-01-03T19:30:00Z,7150.0
2024-01-03T20:00:00Z,7039.0
2024-01-03T20:30:00Z,7005.0
2024-01-03T21:00:00Z,6945.0
2024-01-03T21:30:00Z,6773.0
2024-01-03T22:00:00Z,6611.0
2024-01-03T22:30:00Z,6680.0
2024-01-03T23:00:00Z,6813.0
2024-01-03T23:30:00Z,6793.0
2024-01-04T00:00:00Z,7112.0
2024-01-04T00:30:00Z,7536.0
2024-01-04T01:00:00Z,7743.0
2024-01-04T01:30:00Z,8071.0
2024-01-04T02:00:00Z,8269.0
2024-01-04T02:30:00Z,8255.0
2024-01-04T03:00:00Z,8118.0
2024-01-04T03:30:00Z,7866.0
2024-01-04T04:00:00Z,7666.0
2024-01-04T04:30:00Z,7708.0
2024-01-04T05:00:00Z,7859.0
2024-01-04T05:30:00Z,8218.0
2024-01-04T06:00:00Z,8359.0
2024-01-04T06:30:00Z,8212.0
2024-01-04T07:00:00Z,7815.0
2024-01-04T07:30:00Z,7266.0
2024-01-04T08:00:00Z,6880.0
2024-01-04T08:30:00Z,6898.0
2024-01-04T09:00:00Z,6841.0
2024-01-04T09:30:00Z,6731.0
2024-01-04T10:00:00Z,6394.0
2024-01-04T10:30:00Z,6032.0
2024-01-04T11:00:00Z,5193.0
2024-01-04T11:30:00Z,4691.0
2024-01-04T12:00:00Z,4421.0
2024-01-04T12:30:00Z,4091.0
2024-01-04T13:00:00Z,3544.0
2024-01-04T13:30:00Z,3291.0
2024-01-04T14:00:00Z,3394.0
2024-01-04T14:30:00Z,3168.0
2024-01-04T15:00:00Z,2988.0
2024-01-04T15:30:00Z,3004.0
2024-01-04T16:00:00Z,3039.0
2024-01-04T16:30:00Z,3074.0
2024-01-04T17:00:00Z,3204.0
2024-01-04T17:30:00Z,3277.0
2024-01-04T18:00:00Z,3862.0
2024-01-04T18:30:00Z,4177.0
2024-01-04T19:00:00Z,4459.0
2024-01-04T19:30:00Z,4669.0
2024-01-04T20:00:00Z,4751.0
2024-01-04T20:30:00Z,5048.0
2024-01-04T21:00:00Z,5331.0
2024-01-04T21:30:00Z,5361.0
2024-01-04T22:00:00Z,5052.0
2024-01-04T22:30:00Z,5148.0
2024-01-04T23:00:00Z,5263.0
2024-01-04T23:30:00Z,5428.0
2024-01-05T00:00:00Z,5740.0
2024-01-05T00:30:00Z,5799.0
2024-01-05T01:00:00Z,5813.0
2024-01-05T01:30:00Z,6007.0
2024-01-05T02:00:00Z,5990.0
2024-01-05T02:30:00Z,6535.0
2024-01-05T03:00:00Z,6547.0
2024-01-05T03:30:00Z,6637.0
2024-01-05T04:00:00Z,6416.0
2024-01-05T04:30:00Z,6393.0
2024-01-05T05:00:00Z,6485.0
2024-01-05T05:30:00Z,7266.0
2024-01-05T06:00:00Z,7916.0
2024-01-05T06:30:00Z,8154.0
2024-01-05T07:00:00Z,8250.0
2024-01-05T07:30:00Z,8265.0
2024-01-05T08:00:00Z,8316.0
2024-01-05T08:30:00Z,8672.0
2024-01-05T09:00:00Z,8545.0
2024-01-05T09:30:00Z,8173.0
2024-01-05T10:00:00Z,8007.0
2024-01-05T10:30:00Z,7973.0
2024-01-05T11:00:00Z,8164.0
2024-01-05T11:30:00Z,8430.0
2024-01-05T12:00:00Z,8539.0
2024-01-05T12:30:00Z,8670.0
2024-01-05T13:00:00Z,8724.0
2024-01-05T13:30:00Z,8771.0
2024-01-05T14:00:00Z,8984.0
2024-01-05T14:30:00Z,8839.0
2024-01-05T15:00:00Z,8657.0
2024-01-05T15:30:00Z,8476.0
2024-01-05T16:00:00Z,8416.0
2024-01-05T16:30:00Z,8259.0
2024-01-05T17:00:00Z,7986.0
2024-01-05T17:30:00Z,7852.0
2024-01-05T18:00:00Z,7790.0
2024-01-05T18:30:00Z,7484.0
2024-01-05T19:00:00Z,7236.0
2024-01-05T19:30:00Z,7284.0
2024-01-05T20:00:00Z,7104.0
2024-01-05T20:30:00Z,6659.0
2024-01-05T21:00:00Z,6579.0
2024-01-05T21:30:00Z,6555.0
2024-01-05T22:00:00Z,6280.0
2024-01-05T22:30:00Z,6020.0
2024-01-05T23:00:00Z,5845.0
2024-01-05T23:30:00Z,5746.0
2024-01-06T00:00:00Z,5741.0
2024-01-06T00:30:00Z,5860.0
2024-01-06T01:00:00Z,5877.0
2024-01-06T01:30:00Z,6004.0
2024-01-06T02:00:00Z,6107.0
2024-01-06T02:30:00Z,6127.0
2024-01-06T03:00:00Z,6074.0
2024-01-06T03:30:00Z,5968.0
2024-01-06T04:00:00Z,5871.0
2024-01-06T04:30:00Z,5784.0
2024-01-06T05:00:00Z,5734.0
2024-01-06T05:30:00Z,5687.0
2024-01-06T06:00:00Z,5712.0
2024-01-06T06:30:00Z,5868.0
2024-01-06T07:00:00Z,6033.0
2024-01-06T07:30:00Z,5887.0
2024-01-06T08:00:00Z,5771.0
2024-01-06T08:30:00Z,5610.0
2024-01-06T09:00:00Z,5244.0
2024-01-06T09:30:00Z,5113.0
2024-01-06T10:00:00Z,4940.0
2024-01-06T10:30:00Z,4782.0
2024-01-06T11:00:00Z,4696.0
2024-01-06T11:30:00Z,4599.0
2024-01-06T12:00:00Z,4362.0
2024-01-06T12:30:00Z,4529.0
2024-01-06T13:00:00Z,4591.0
2024-01-06T13:30:00Z,4683.0
2024-01-06T14:00:00Z,4539.0
2024-01-06T14:30:00Z,4613.0
2024-01-06T15:00:00Z,4631.0
2024-01-06T15:30:00Z,4864.0
2024-01-06T16:00:00Z,5248.0
2024-01-06T16:30:00Z,5194.0
2024-01-06T17:00:00Z,5212.0
2024-01-06T17:30:00Z,5203.0
2024-01-06T18:00:00Z,5050.0
2024-01-06T18:30:00Z,4778.0
2024-01-06T19:00:00Z,4878.0
2024-01-06T19:30:00Z,4946.0
2024-01-06T20:00:00Z,5132.0
2024-01-06T20:30:00Z,4911.0
2024-01-06T21:00:00Z,4916.0
2024-01-06T21:30:00Z,4906.0
2024-01-06T22:00:00Z,5090.0
2024-01-06T22:30:00Z,5275.0
2024-01-06T23:00:00Z,5175.0
2024-01-06T23:30:00Z,5390.0
2024-01-07T00:00:00Z,5708.0
2024-01-07T00:30:00Z,5552.0
2024-01-07T01:00:00Z,5803.0
2024-01-07T01:30:00Z,5946.0
2024-01-07T02:00:00Z,5904.0
2024-01-07T02:30:00Z,5770.0
2024-01-07T03:00:00Z,5881.0
2024-01-07T03:30:00Z,6176.0
2024-01-07T04:00:00Z,6342.0
2024-01-07T04:30:00Z,6066.0
2024-01-07T05:00:00Z,6290.0
2024-01-07T05:30:00Z,6434.0
2024-01-07T06:00:00Z,6402.0
2024-01-07T06:30:00Z,6440.0
2024-01-07T07:00:00Z,6138.0
2024-01-07T07:30:00Z,6109.0
2024-01-07T08:00:00Z,6044.0
2024-01-07T08:30:00Z,5612.0
2024-01-07T09:00:00Z,5549.0
2024-01-07T09:30:00Z,5385.0
2024-01-07T10:00:00Z,5311.0
2024-01-07T10:30:00Z,5015.0
2024-01-07T11:00:00Z,4848.0
2024-01-07T11:30:00Z,4648.0
2024-01-07T12:00:00Z,4435.0
2024-01-07T12:30:00Z,4391.0
2024-01-07T13:00:00Z,4437.0
2024-01-07T13:30:00Z,4327.0
2024-01-07T14:00:00Z,4332.0
2024-01-07T14:30:00Z,4352.0
2024-01-07T15:00:00Z,4325.0
2024-01-07T15:30:00Z,4315.0
2024-01-07T16:00:00Z,4299.0
2024-01-07T16:30:00Z,4305.0
2024-01-07T17:00:00Z,4316.0
2024-01-07T17:30:00Z,4325.0
2024-01-07T18:00:00Z,4324.0
2024-01-07T18:30:00Z,4281.0
2024-01-07T19:00:00Z,4202.0
2024-01-07T19:30:00Z,4169.0
2024-01-07T20:00:00Z,4032.0
2024-01-07T20:30:00Z,4017.0
2024-01-07T21:00:00Z,3992.0
2024-01-07T21:30:00Z,4030.0
2024-01-07T22:00:00Z,3994.0
2024-01-07T22:30:00Z,4100.0
2024-01-07T23:00:00Z,4242.0
2024-01-07T23:30:00Z,4275.0
2024-01-08T00:00:00Z,4629.0
2024-01-08T00:30:00Z,4730.0
2024-01-08T01:00:00Z,5033.0
2024-01-08T01:30:00Z,5215.0
2024-01-08T02:00:00Z,5342.0
2024-01-08T02:30:00Z,6043.0
2024-01-08T03:00:00Z,6274.0
2024-01-08T03:30:00Z,6533.0
2024-01-08T04:00:00Z,6980.0
2024-01-08T04:30:00Z,6945.0
2024-01-08T05:00:00Z,7381.0
2024-01-08T05:30:00Z,7292.0
2024-01-08T06:00:00Z,7472.0
2024-01-08T06:30:00Z,7502.0
2024-01-08T07:00:00Z,7640.0
2024-01-08T07:30:00Z,8031.0
2024-01-08T08:00:00Z,8230.0
2024-01-08T08:30:00Z,8551.0
2024-01-08T09:00:00Z,8833.0
2024-01-08T09:30:00Z,9199.0
2024-01-08T10:00:00Z,9334.0
2024-01-08T10:30:00Z,9545.0
2024-01-08T11:00:00Z,9777.0
2024-01-08T11:30:00Z,9986.0
2024-01-08T12:00:00Z,10111.0
2024-01-08T12:30:00Z,10163.0
2024-01-08T13:00:00Z,10469.0
2024-01-08T13:30:00Z,10499.0
2024-01-08T14:00:00Z,10377.0
2024-01-08T14:30:00Z,10226.0
2024-01-08T15:00:00Z,10317.0
2024-01-08T15:30:00Z,10616.0
2024-01-08T16:00:00Z,10769.0
2024-01-08T16:30:00Z,10783.0
2024-01-08T17:00:00Z,10919.0
2024-01-08T17:30:00Z,11535.0
2024-01-08T18:00:00Z,11362.0
2024-01-08T18:30:00Z,11439.0
2024-01-08T19:00:00Z,11412.0
2024-01-08T19:30:00Z,11371.0
2024-01-08T20:00:00Z,11536.0
2024-01-08T20:30:00Z,11592.0
2024-01-08T21:00:00Z,11660.0
2024-01-08T21:30:00Z,11738.0
2024-01-08T22:00:00Z,11616.0
2024-01-08T22:30:00Z,11782.0
2024-01-08T23:00:00Z,11895.0
2024-01-08T23:30:00Z,11909.0
2024-01-09T00:00:00Z,11819.0
2024-01-09T00:30:00Z,11652.0
2024-01-09T01:00:00Z,11440.0
2024-01-09T01:30:00Z,11277.0
2024-01-09T02:00:00Z,11298.0
2024-01-09T02:30:00Z,11381.0
2024-01-09T03:00:00Z,11356.0
2024-01-09T03:30:00Z,11480.0
2024-01-09T04:00:00Z,11574.0
2024-01-09T04:30:00Z,11558.0
2024-01-09T05:00:00Z,11483.0
2024-01-09T05:30:00Z,11558.0
2024-01-09T06:00:00Z,11659.0
2024-01-09T06:30:00Z,11944.0
2024-01-09T07:00:00Z,12192.0
2024-01-09T07:30:00Z,12320.0
2024-01-09T08:00:00Z,12298.0
2024-01-09T08:30:00Z,12385.0
2024-01-09T09:00:00Z,12411.0
2024-01-09T09:30:00Z,12380.0
2024-01-09T10:00:00Z,12481.0
2024-01-09T10:30:00Z,12374.0
2024-01-09T11:00:00Z,12275.0
2024-01-09T11:30:00Z,12042.0
2024-01-09T12:00:00Z,11866.0
2024-01-09T12:30:00Z,11886.0
2024-01-09T13:00:00Z,11806.0
2024-01-09T13:30:00Z,11550.0
2024-01-09T14:00:00Z,11493.0
2024-01-09T14:30:00Z,11161.0
2024-01-09T15:00:00Z,10939.0
2024-01-09T15:30:00Z,11024.0
2024-01-09T16:00:00Z,11052.0
2024-01-09T16:30:00Z,11000.0
2024-01-09T17:00:00Z,11135.0
2024-01-09T17:30:00Z,11313.0
2024-01-09T18:00:00Z,11240.0
2024-01-09T18:30:00Z,11395.0
2024-01-09T19:00:00Z,11476.0
2024-01-09T19:30:00Z,11504.0
2024-01-09T20:00:00Z,11428.0
2024-01-09T20:30:00Z,11228.0
2024-01-09T21:00:00Z,11128.0
2024-01-09T21:30:00Z,10915.0
2024-01-09T22:00:00Z,11005.0
2024-01-09T22:30:00Z,10866.0
2024-01-09T23:00:00Z,10685.0
2024-01-09T23:30:00Z,10364.0
2024-01-10T00:00:00Z,10003.0
2024-01-10T00:30:00Z,9663.0
2024-01-10T01:00:00Z,9662.0
2024-01-10T01:30:00Z,9498.0
2024-01-10T02:00:00Z,8765.0
2024-01-10T02:30:00Z,8269.0
2024-01-10T03:00:00Z,7933.0
2024-01-10T03:30:00Z,7910.0
2024-01-10T04:00:00Z,7728.0
2024-01-10T04:30:00Z,7581.0
2024-01-10T05:00:00Z,7538.0
2024-01-10T05:30:00Z,7423.0
2024-01-10T06:00:00Z,7277.0
2024-01-10T06:30:00Z,7070.0
2024-01-10T07:00:00Z,6908.0
2024-01-10T07:30:00Z,6740.0
2024-01-10T08:00:00Z,6625.0
2024-01-10T08:30:00Z,6547.0
2024-01-10T09:00:00Z,6420.0
2024-01-10T09:30:00Z,6497.0
2024-01-10T10:00:00Z,6564.0
2024-01-10T10:30:00Z,6734.0
2024-01-10T11:00:00Z,6752.0
2024-01-10T11:30:00Z,6771.0
2024-01-10T12:00:00Z,6774.0
2024-01-10T12:30:00Z,6969.0
2024-01-10T13:00:00Z,7172.0
2024-01-10T13:30:00Z,7338.0
2024-01-10T14:00:00Z,7684.0
2024-01-10T14:30:00Z,7899.0
2024-01-10T15:00:00Z,8027.0
2024-01-10T15:30:00Z,8042.0
2024-01-10T16:00:00Z,6983.0
2024-01-10T16:30:00Z,8777.0
2024-01-10T17:00:00Z,8970.0
2024-01-10T17:30:00Z,9026.0
2024-01-10T18:00:00Z,8944.0
2024-01-10T18:30:00Z,8926.0
2024-01-10T19:00:00Z,8831.0
2024-01-10T19:30:00Z,8987.0
2024-01-10T20:00:00Z,8785.0
2024-01-10T20:30:00Z,8520.0
2024-01-10T21:00:00Z,8234.0
2024-01-10T21:30:00Z,7743.0
2024-01-10T22:00:00Z,6978.0
2024-01-10T22:30:00Z,6800.0
2024-01-10T23:00:00Z,6690.0
2024-01-10T23:30:00Z,6737.0
2024-01-11T00:00:00Z,6538.0
2024-01-11T00:30:00Z,6372.0
2024-01-11T01:00:00Z,6143.0
2024-01-11T01:30:00Z,5994.0
2024-01-11T02:00:00Z,5824.0
2024-01-11T02:30:00Z,5568.0
2024-01-11T03:00:00Z,5469.0
2024-01-11T03:30:00Z,5521.0
2024-01-11T04:00:00Z,5671.0
2024-01-11T04:30:00Z,5683.0
2024-01-11T05:00:00Z,5605.0
2024-01-11T05:30:00Z,6155.0
2024-01-11T06:00:00Z,6036.0
2024-01-11T06:30:00Z,5722.0
2024-01-11T07:00:00Z,5536.0
2024-01-11T07:30:00Z,5279.0
2024-01-11T08:00:00Z,5389.0
2024-01-11T08:30:00Z,5459.0
